ZIP Code,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,id
94509,Antioch,CA,37.991571,-121.80207,-8,1,"37.991571,-121.80207",1113
94521,Concord,CA,37.957772,-121.97709,-8,1,"37.957772,-121.97709",1113
94523,Pleasant Hill,CA,37.951672,-122.07317,-8,1,"37.951672,-122.07317",1113
94526,Danville,CA,37.811676,-121.98647,-8,1,"37.811676,-121.98647",1113
94534,Fairfield,CA,38.245844,-122.101917,-8,1,"38.245844,-122.101917",622
94536,Fremont,CA,37.562218,-121.99433,-8,1,"37.562218,-121.99433",18
94538,Fremont,CA,37.527237,-121.9679,-8,1,"37.527237,-121.9679",18
94539,Fremont,CA,37.515014,-121.92916,-8,1,"37.515014,-121.92916",18
94542,Hayward,CA,37.657381,-122.05076,-8,1,"37.657381,-122.05076",18
94545,Hayward,CA,37.635582,-122.10418,-8,1,"37.635582,-122.10418",18
94546,Castro Valley,CA,37.702063,-122.07934,-8,1,"37.702063,-122.07934",18
94550,Livermore,CA,37.65778,-121.73011,-8,1,"37.65778,-121.73011",18
94551,Livermore,CA,37.680181,-121.921498,-8,1,"37.680181,-121.921498",18
94553,Martinez,CA,37.998912,-122.11501,-8,1,"37.998912,-122.11501",1113
94555,Fremont,CA,37.571581,-122.0509,-8,1,"37.571581,-122.0509",18
94558,Napa,CA,38.337243,-122.30027,-8,1,"38.337243,-122.30027",3165
94566,Pleasanton,CA,37.658898,-121.87149,-8,1,"37.658898,-121.87149",18
94571,Rio Vista,CA,38.156909,-121.72075,-8,1,"38.156909,-121.72075",622
94575,Moraga,CA,37.777208,-121.955399,-8,1,"37.777208,-121.955399",1113
94577,San Leandro,CA,37.722279,-122.15702,-8,1,"37.722279,-122.15702",18
94583,San Ramon,CA,37.75735,-121.95213,-8,1,"37.75735,-121.95213",1113
94588,Pleasanton,CA,37.68973,-121.89244,-8,1,"37.68973,-121.89244",18
94590,Vallejo,CA,38.105219,-122.24571,-8,1,"38.105219,-122.24571",622
94591,Vallejo,CA,38.099119,-122.21035,-8,1,"38.099119,-122.21035",622
94596,Walnut Creek,CA,37.905924,-122.05858,-8,1,"37.905924,-122.05858",1113
94598,Walnut Creek,CA,37.91878,-122.02618,-8,1,"37.91878,-122.02618",1113
94604,Oakland,CA,37.680181,-121.921498,-8,1,"37.680181,-121.921498",18
94606,Oakland,CA,37.793177,-122.24352,-8,1,"37.793177,-122.24352",18
94607,Oakland,CA,37.806427,-122.28898,-8,1,"37.806427,-122.28898",18
94608,Emeryville,CA,37.834724,-122.28316,-8,1,"37.834724,-122.28316",18
94609,Oakland,CA,37.834926,-122.264,-8,1,"37.834926,-122.264",18
94610,Oakland,CA,37.812377,-122.24199,-8,1,"37.812377,-122.24199",18
94611,Oakland,CA,37.827126,-122.22289,-8,1,"37.827126,-122.22289",18
94612,Oakland,CA,37.809427,-122.27172,-8,1,"37.809427,-122.27172",18
